#规范字	Unicode
一	4E00
乙	4E59
二	4E8C
十	5341
丁	4E01
厂	5382
七	4E03
卜	535C
八	516B
人	4EBA
入	5165
儿	513F
匕	5315
几	51E0
九	4E5D
刁	5201
了	4E86
刀	5200
力	529B
乃	4E43
又	53C8
三	4E09
干	5E72
于	4E8E
亏	4E8F
工	5DE5
土	571F
士	58EB
才	624D
下	4E0B
寸	5BF8
大	5927
丈	4E08
与	4E0E
万	4E07
上	4E0A
小	5C0F
口	53E3
山	5C71
巾	5DFE
千	5343
乞	4E5E
川	5DDD
亿	4EBF
个	4E2A
夕	5915
久	4E45
么	4E48
勺	52FA
凡	51E1
丸	4E38
及	53CA
广	5E7F
亡	4EA1
门	95E8
丫	4E2B
义	4E49
之	4E4B
尸	5C38
己	5DF1
已	5DF2
巳	5DF3
弓	5F13
子	5B50
卫	536B
也	4E5F
女	5973
刃	5203
飞	98DE
习	4E60
叉	53C9
马	9A6C
乡	4E61
丰	4E30
王	738B
开	5F00
井	4E95
天	5929
夫	592B
元	5143
无	65E0
云	4E91
专	4E13
丐	4E10
扎	624E
艺	827A
木	6728
五	4E94
支	652F
厅	5385
不	4E0D
犬	72AC
太	592A
区	533A
历	5386
歹	6B79
友	53CB
尤	5C24
匹	5339
车	8F66
巨	5DE8
牙	7259
屯	5C6F
戈	6208
比	6BD4
互	4E92
切	5207
瓦	74E6
止	6B62
少	5C11
曰	66F0
日	65E5
中	4E2D
贝	8D1D
冈	5188
内	5185
水	6C34
见	89C1
午	5348
牛	725B
手	624B
气	6C14
毛	6BDB
壬	58EC
升	5347
夭	592D
长	957F
仁	4EC1
什	4EC0
片	7247
仆	4EC6
化	5316
仇	4EC7
币	5E01
仍	4ECD
仅	4EC5
斤	65A4
爪	722A
反	53CD
介	4ECB
父	7236
从	4ECE
仑	4ED1
今	4ECA
凶	51F6
分	5206
乏	4E4F
公	516C
仓	4ED3
月	6708
氏	6C0F
勿	52FF
欠	6B20
风	98CE
丹	4E39
匀	5300
乌	4E4C
勾	52FE
凤	51E4
六	516D
文	6587
亢	4EA2
方	65B9
火	706B
为	4E3A
斗	6597
忆	5FC6
计	8BA1
订	8BA2
户	6237
认	8BA4
冗	5197
讥	8BA5
心	5FC3
尺	5C3A
引	5F15
丑	4E11
巴	5DF4
孔	5B54
队	961F
办	529E
以	4EE5
允	5141
予	4E88
邓	9093
劝	529D
双	53CC
书	4E66
幻	5E7B
玉	7389
刊	520A
未	672A
末	672B
示	793A
击	51FB
打	6253
巧	5DE7
正	6B63
扑	6251
卉	5349
扒	6252
功	529F
扔	6254
去	53BB
甘	7518
世	4E16
艾	827E
古	53E4
节	8282
本	672C
术	672F
可	53EF
丙	4E19
左	5DE6
厉	5389
石	77F3
右	53F3
布	5E03
夯	592F
戊	620A
龙	9F99
平	5E73
灭	706D
轧	8F67
东	4E1C
卡	5361
北	5317
占	5360
凸	51F8
卢	5362
业	4E1A
旧	65E7
帅	5E05
归	5F52
旦	65E6
目	76EE
且	4E14
叶	53F6
甲	7532
申	7533
叮	53EE
电	7535
号	53F7
田	7530
由	7531
只	53EA
叭	53ED
史	53F2
央	592E
兄	5144
叽	53FD
叼	53FC
叫	53EB
叩	53E9
叨	53E8
另	53E6
叹	53F9
冉	5189
皿	76BF
凹	51F9
囚	56DA
四	56DB
生	751F
矢	77E2
失	5931
乍	4E4D
禾	79BE
丘	4E18
付	4ED8
仗	4ED7
代	4EE3
仙	4ED9
们	4EEC
仪	4EEA
白	767D
仔	4ED4
他	4ED6
斥	65A5
瓜	74DC
乎	4E4E
丛	4E1B
令	4EE4
用	7528
甩	7529
印	5370
尔	5C14
乐	4E50
句	53E5
匆	5306
册	518C
卯	536F
犯	72AF
外	5916
处	5904
冬	51AC
鸟	9E1F
务	52A1
包	5305
饥	9965
主	4E3B
市	5E02
立	7ACB
冯	51AF
玄	7384
闪	95EA
兰	5170
半	534A
汁	6C41
汇	6C47
头	5934
汉	6C49
宁	5B81
穴	7A74
它	5B83
讨	8BA8
写	5199
让	8BA9
礼	793C
训	8BAD
议	8BAE
必	5FC5
讯	8BAF
记	8BB0
永	6C38
司	53F8
尼	5C3C
民	6C11
弗	5F17
弘	5F18
出	51FA
辽	8FBD
奶	5976
奴	5974
召	53EC
加	52A0
皮	76AE
边	8FB9
孕	5B55
发	53D1
圣	5723
对	5BF9
台	53F0
矛	77DB
纠	7EA0
母	6BCD
幼	5E7C
丝	4E1D
邦	90A6
式	5F0F
迂	8FC2
刑	5211
戎	620E
动	52A8
扛	625B
寺	5BFA
吉	5409
扣	6263
考	8003
托	6258
老	8001
巩	5DE9
圾	573E
执	6267
扩	6269
扫	626B
地	5730
场	573A
扬	626C
耳	8033
芋	828B
共	5171
芒	8292
亚	4E9A
芝	829D
朽	673D
朴	6734
机	673A
权	6743
过	8FC7
臣	81E3
吏	540F
再	518D
协	534F
西	897F
压	538B
厌	538C
戌	620C
在	5728
百	767E
有	6709
存	5B58
而	800C
页	9875
匠	5320
夸	5938
夺	593A
灰	7070
达	8FBE
列	5217
死	6B7B
成	6210
夹	5939
夷	5937
轨	8F68
邪	90AA
尧	5C27
划	5212
迈	8FC8
毕	6BD5
至	81F3
此	6B64
贞	8D1E
师	5E08
尘	5C18
尖	5C16
劣	52A3
光	5149
当	5F53
早	65E9
吁	5401
吐	5410
吓	5413
虫	866B
曲	66F2
团	56E2
吕	5415
同	540C
吊	540A
吃	5403
因	56E0
吸	5438
吗	5417
吆	5406
屿	5C7F
屹	5C79
岁	5C81
帆	5E06
回	56DE
岂	5C82
则	5219
刚	521A
网	7F51
肉	8089
年	5E74
朱	6731
先	5148
丢	4E22
廷	5EF7
舌	820C
竹	7AF9
迁	8FC1
乔	4E54
迄	8FC4
伟	4F1F
传	4F20
乒	4E52
乓	4E53
休	4F11
伍	4F0D
伏	4F0F
优	4F18
臼	81FC
伐	4F10
延	5EF6
仲	4EF2
件	4EF6
任	4EFB
伤	4F24
价	4EF7
伦	4F26
份	4EFD
华	534E
仰	4EF0
仿	4EFF
伙	4F19
伪	4F2A
自	81EA
伊	4F0A
血	8840
向	5411
似	4F3C
后	540E
行	884C
舟	821F
全	5168
会	4F1A
杀	6740
合	5408
兆	5146
企	4F01
众	4F17
爷	7237
伞	4F1E
创	521B
肌	808C
肋	808B
朵	6735
杂	6742
危	5371
旬	65EC
旨	65E8
旭	65ED
负	8D1F
匈	5308
名	540D
各	5404
多	591A
争	4E89
色	8272
壮	58EE
冲	51B2
妆	5986
冰	51B0
庄	5E84
庆	5E86
亦	4EA6
刘	5218
齐	9F50
交	4EA4
衣	8863
次	6B21
产	4EA7
决	51B3
亥	4EA5
充	5145
妄	5984
闭	95ED
问	95EE
闯	95EF
羊	7F8A
并	5E76
关	5173
米	7C73
灯	706F
州	5DDE
汗	6C57
污	6C61
江	6C5F
汛	6C5B
池	6C60
汝	6C5D
汤	6C64
忙	5FD9
兴	5174
宇	5B87
守	5B88
宅	5B85
字	5B57
安	5B89
讲	8BB2
讳	8BB3
军	519B
讶	8BB6
许	8BB8
讹	8BB9
论	8BBA
讼	8BBC
农	519C
讽	8BBD
设	8BBE
访	8BBF
诀	8BC0
寻	5BFB
那	90A3
迅	8FC5
尽	5C3D
导	5BFC
异	5F02
弛	5F1B
孙	5B59
阵	9635
阳	9633
收	6536
阶	9636
阴	9634
防	9632
奸	5978
如	5982
妇	5987
妃	5983
好	597D
她	5979
妈	5988
戏	620F
羽	7FBD
观	89C2
欢	6B22
买	4E70
红	7EA2
驮	9A6E
纤	7EA4
驯	9A6F
约	7EA6
级	7EA7
纪	7EAA
驰	9A70
纫	7EAB
巡	5DE1
寿	5BFF
弄	5F04
麦	9EA6
玖	7396
玛	739B
形	5F62
进	8FDB
戒	6212
吞	541E
远	8FDC
违	8FDD
韧	97E7
运	8FD0
扶	6276
抚	629A
坛	575B
技	6280
坏	574F
抠	62A0
扰	6270
扼	627C
拒	62D2
找	627E
批	6279
址	5740
扯	626F
走	8D70
抄	6284
贡	8D21
汞	6C5E
坝	575D
攻	653B
赤	8D64
折	6298
抓	6293
扳	6273
抡	62A1
扮	626E
抢	62A2
孝	5B5D
坎	574E
均	5747
抑	6291
抛	629B
投	6295
坟	575F
坑	5751
抗	6297
坊	574A
抖	6296
护	62A4
壳	58F3
志	5FD7
块	5757
扭	626D
声	58F0
把	628A
报	62A5
拟	62DF
却	5374
抒	6292
劫	52AB
芙	8299
芜	829C
苇	82C7
芽	82BD
花	82B1
芹	82B9
芥	82A5
芬	82AC
苍	82CD
芳	82B3
严	4E25
芦	82A6
芯	82AF
劳	52B3
克	514B
芭	82AD
苏	82CF
杆	6746
杠	6760
杜	675C
材	6750
村	6751
杖	6756
杏	674F
杉	6749
巫	5DEB
极	6781
李	674E
杨	6768
求	6C42
甫	752B
匣	5323
更	66F4
束	675F
吾	543E
豆	8C46
两	4E24
酉	9149
丽	4E3D
医	533B
辰	8FB0
励	52B1
否	5426
还	8FD8
尬	5C2C
歼	6B7C
来	6765
连	8FDE
轩	8F69
步	6B65
卤	5364
坚	575A
肖	8096
旱	65F1
盯	76EF
呈	5448
时	65F6
吴	5434
助	52A9
县	53BF
里	91CC
呆	5446
吱	5431
吠	5420
呕	5455
园	56ED
旷	65F7
围	56F4
呀	5440
吨	5428
足	8DB3
邮	90AE
男	7537
困	56F0
吵	5435
串	4E32
员	5458
呐	5450
听	542C
吟	541F
吩	5429
呛	545B
吻	543B
吹	5439
呜	545C
吭	542D
吧	5427
邑	9091
吼	543C
囤	56E4
别	522B
吮	542E
岖	5C96
岗	5C97
帐	5E10
财	8D22
针	9488
钉	9489
牡	7261
告	544A
我	6211
乱	4E71
利	5229
秃	79C3
秀	79C0
私	79C1
每	6BCF
兵	5175
估	4F30
体	4F53
何	4F55
佐	4F50
佑	4F51
但	4F46
伸	4F38
佃	4F43
作	4F5C
伯	4F2F
伶	4F36
佣	4F63
低	4F4E
你	4F60
住	4F4F
位	4F4D
伴	4F34
身	8EAB
皂	7682
伺	4F3A
佛	4F5B
囱	56F1
近	8FD1
彻	5F7B
役	5F79
返	8FD4
余	4F59
希	5E0C
坐	5750
谷	8C37
妥	59A5
含	542B
邻	90BB
岔	5C94
肝	809D
肛	809B
肚	809A
肘	8098
肠	80A0
龟	9F9F
甸	7538
免	514D
狂	72C2
犹	72B9
狈	72C8
角	89D2
删	5220
条	6761
彤	5F64
卵	5375
灸	7078
岛	5C9B
刨	5228
迎	8FCE
饭	996D
饮	996E
系	7CFB
言	8A00
冻	51BB
状	72B6
亩	4EA9
况	51B5
床	5E8A
库	5E93
庇	5E87
疗	7597
吝	541D
应	5E94
这	8FD9
冷	51B7
庐	5E90
序	5E8F
辛	8F9B
弃	5F03
冶	51B6
忘	5FD8
闰	95F0
闲	95F2
间	95F4
闷	95F7
判	5224
兑	5151
灶	7076
灿	707F
灼	707C
弟	5F1F
汪	6C6A
沐	6C90
沛	6C9B
汰	6C70
沥	6CA5
沙	6C99
汽	6C7D
沃	6C83
沦	6CA6
汹	6C79
泛	6CDB
沧	6CA7
没	6CA1
沟	6C9F
沪	6CAA
沈	6C88
沉	6C89
沁	6C81
怀	6000
忧	5FE7
忱	5FF1
快	5FEB
完	5B8C
宋	5B8B
宏	5B8F
牢	7262
究	7A76
穷	7A77
灾	707E
良	826F
证	8BC1
启	542F
评	8BC4
补	8865
初	521D
社	793E
祀	7940
识	8BC6
诈	8BC8
诉	8BC9
罕	7F55
诊	8BCA
词	8BCD
译	8BD1
君	541B
灵	7075
即	5373
层	5C42
屁	5C41
尿	5C3F
尾	5C3E
迟	8FDF
局	5C40
改	6539
张	5F20
忌	5FCC
际	9645
陆	9646
阿	963F
陈	9648
阻	963B
附	9644
坠	5760
妓	5993
妙	5999
妖	5996
姊	59CA
妨	59A8
妒	5992
努	52AA
忍	5FCD
劲	52B2
矣	77E3
鸡	9E21
纬	7EAC
驱	9A71
纯	7EAF
纱	7EB1
纲	7EB2
纳	7EB3
驳	9A73
纵	7EB5
纷	7EB7
纸	7EB8
纹	7EB9
纺	7EBA
驴	9A74
纽	7EBD
奉	5949
玩	73A9
环	73AF
武	6B66
青	9752
责	8D23
现	73B0
玫	73AB
表	8868
规	89C4
抹	62B9
卦	5366
坷	5777
坯	576F
拓	62D3
拢	62E2
拔	62D4
坪	576A
拣	62E3
坦	5766
担	62C5
坤	5764
押	62BC
抽	62BD
拐	62D0
拖	62D6
者	8005
拍	62CD
顶	9876
拆	62C6
拎	62CE
拥	62E5
抵	62B5
拘	62D8
势	52BF
抱	62B1
拄	62C4
垃	5783
拉	62C9
拦	62E6
幸	5E78
拌	62CC
拧	62E7
拂	62C2
拙	62D9
招	62DB
坡	5761
披	62AB
拨	62E8
择	62E9
抬	62AC
拇	62C7
拗	62D7
其	5176
取	53D6
茉	8309
苦	82E6
昔	6614
苛	82DB
若	82E5
茂	8302
苹	82F9
苗	82D7
英	82F1
苟	82DF
苑	82D1
苞	82DE
范	8303
直	76F4
茁	8301
茄	8304
茎	830E
苔	82D4
茅	8305
枉	6789
林	6797
枝	679D
杯	676F
枢	67A2
柜	67DC
枚	679A
析	6790
板	677F
松	677E
枪	67AA
枫	67AB
构	6784
杭	676D
杰	6770
述	8FF0
枕	6795
丧	4E27
或	6216
画	753B
卧	5367
事	4E8B
刺	523A
枣	67A3
雨	96E8
卖	5356
郁	90C1
矾	77FE
矿	77FF
码	7801
厕	5395
奈	5948
奔	5954
奇	5947
奋	594B
态	6001
欧	6B27
殴	6BB4
垄	5784
妻	59BB
轰	8F70
顷	9877
转	8F6C
斩	65A9
轮	8F6E
软	8F6F
到	5230
非	975E
叔	53D4
歧	6B67
肯	80AF
齿	9F7F
些	4E9B
卓	5353
虎	864E
虏	864F
肾	80BE
贤	8D24
尚	5C1A
旺	65FA
具	5177
味	5473
果	679C
昆	6606
国	56FD
哎	54CE
咕	5495
昌	660C
呵	5475
畅	7545
明	660E
易	6613
咙	5499
昂	6602
迪	8FEA
典	5178
固	56FA
忠	5FE0
呻	547B
咒	5492
咋	548B
咐	5490
呼	547C
鸣	9E23
咏	548F
呢	5462
咄	5484
咖	5496
岸	5CB8
岩	5CA9
帖	5E16
罗	7F57
帜	5E1C
帕	5E15
岭	5CAD
凯	51EF
败	8D25
账	8D26
贩	8D29
贬	8D2C
购	8D2D
贮	8D2E
图	56FE
钓	9493
制	5236
知	77E5
迭	8FED
氛	6C1B
垂	5782
牧	7267
物	7269
乖	4E56
刮	522E
秆	79C6
和	548C
季	5B63
委	59D4
秉	79C9
佳	4F73
侍	4F8D
岳	5CB3
供	4F9B
使	4F7F
例	4F8B
侠	4FA0
侥	4FA5
版	7248
侄	4F84
侦	4FA6
侣	4FA3
侧	4FA7
凭	51ED
侨	4FA8
佩	4F69
货	8D27
侈	4F88
依	4F9D
卑	5351
的	7684
迫	8FEB
质	8D28
欣	6B23
征	5F81
往	5F80
爬	722C
彼	5F7C
径	5F84
所	6240
舍	820D
金	91D1
刹	5239
命	547D
肴	80B4
斧	65A7
爸	7238
采	91C7
觅	89C5
受	53D7
乳	4E73
贪	8D2A
念	5FF5
贫	8D2B
忿	5FFF
肤	80A4
肺	80BA
肢	80A2
肿	80BF
胀	80C0
朋	670B
股	80A1
肮	80AE
肪	80AA
肥	80A5
服	670D
胁	80C1
周	5468
昏	660F
鱼	9C7C
兔	5154
狐	72D0
忽	5FFD
狗	72D7
狞	72DE
备	5907
饰	9970
饱	9971
饲	9972
变	53D8
京	4EAC
享	4EAB
庞	5E9E
店	5E97
夜	591C
庙	5E99
府	5E9C
底	5E95
疟	759F
疙	7599
疚	759A
剂	5242
卒	5352
郊	90CA
庚	5E9A
废	5E9F
净	51C0
盲	76F2
放	653E
刻	523B
育	80B2
氓	6C13
闸	95F8
闹	95F9
郑	90D1
券	5238
卷	5377
单	5355
炬	70AC
炒	7092
炊	708A
炕	7095
炎	708E
炉	7089
沫	6CAB
浅	6D45
法	6CD5
泄	6CC4
沽	6CBD
河	6CB3
沾	6CBE
泪	6CEA
沮	6CAE
油	6CB9
泊	6CCA
沿	6CBF
泡	6CE1
注	6CE8
泣	6CE3
泞	6CDE
泻	6CFB
泌	6CCC
泳	6CF3
泥	6CE5
沸	6CB8
沼	6CBC
波	6CE2
泼	6CFC
泽	6CFD
治	6CBB
